,stemmedComment
0,"['wkwkwk', 'enggak', 'sekali', 'pak', 'selawat', 'ke', 'dpr', 'kan', 'banyak', 'koruptor', 'sana']"
1,"['mantab', 'ini', 'baru', 'dakwah', 'yang', 'sejati', 'kalau', 'ada', 'tempat', 'umum', 'mah', 'deh', 'biasa', 'ini', 'luar', 'biasa']"
2,"['salut', 'buat', 'gus', 'miftah']"
3,"['yang', 'nyinyir', 'enggak', 'pernah', 'lihat', 'dan', 'baca', 'atau', 'tahu', 'sejarah', 'dakwah', 'walisongo', 'sunan', 'kali', 'jagasmua', 'ada', 'cara', 'demi', 'baik', 'asal', 'jangan', 'ajk', 'dengan', 'cara', 'jah', 'laku', 'dengan', 'porsi', 'dan', 'sikon', 'yang', 'tepat']"
4,"['ada', 'adab', 'sholawat', 'lebih', 'baik', 'ajak', 'ke', 'majelis', 'ilmu']"
5,"['tiap', 'ulama', 'punya', 'jalan', 'dan', 'cara', 'dakwah', 'masing', 'jika', 'kamu', 'lihat', 'kemunkaran', 'lawan', 'dengan', 'tanganmukekuatanmu', 'jika', 'tidak', 'mampu', 'lawan', 'dengan', 'mulut', 'jika', 'tidak', 'mampu', 'juga', 'dengan', 'hati', 'itu', 'lemah', 'lemah', 'iman', 'itu', 'sudah', 'jadi', 'wajib', 'para', 'ulama', 'kalo', 'yang', 'komen', 'masih', 'ada', 'yang', 'nyinyir', 'ulama', 'arti', 'otak', 'sudah', 'disisipin', 'politik']"
6,"['umpanin', 'nocannya', 'ya']"
7,"['itu', 'ceramah', 'yang', 'benar']"
8,"['besok', 'bugil', 'saja', 'selawat']"
9,"['beda', 'gus', 'miftah', 'dengan', 'fpi', 'hti', 'bagai', 'surga', 'dan', 'neraka', 'di', 'surga', 'penuh', 'kasih', 'di', 'neraka', 'penuh', 'hancur']"
10,"['kenapa', 'di', 'tempat', 'kerja', 'mending', 'undang', 'ke', 'masjid', 'ponpes', 'aula', 'supaya', 'busana', 'yang', 'sopan']"
11,"['nah', 'ini', 'ulama', 'beneranditerima', 'di', 'semua', 'kalangankl', 'uas', 'malah', 'blokir', 'sana', 'sini']"
12,"['keren', 'saya', 'pernah', 'dapat', 'info', 'seperti', 'ini', 'dari', 'yakin', 'yang', 'lain', 'tapi', 'tuju', 'utama', 'kurang', 'lebih', 'sama', 'lah', 'kita', 'ambil', 'sisi', 'positif', 'saja', 'terimakasih', 'atas', 'niat', 'baik', 'saya', 'yakin', 'pasti', 'manfaat']"
13,"['hebat', 'guslanjutkaninilah', 'makna', 'dakwah', 'benar', 'sampai', 'marwah', 'islam', 'dengan', 'penuh', 'damai', 'dan', 'ikan', 'paham', 'bukan', 'dengan', 'benci', 'dan', 'paksa']"
14,"['diskotik', 'syariah', 'jadunya', 'nih', 'wkwkwkmantap']"
15,"['niat', 'dan', 'tuju', 'yang', 'baik', 'pasti', 'dapat', 'berkah', 'dari', 'allah', 'swt']"
16,"['mantaaappppbuat', 'di', 'gedung', 'dpr', 'perlu', 'juga', 'kayak', 'gus']"
17,"['salut', 'buat', 'owner', 'klub', 'ini']"
18,"['josshhh', 'ini', 'baru', 'luar', 'biasa']"
19,"['dapat', 'gratis', 'karena', 'sudah', 'punya', 'nope']"
